Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
PS3,2012,Role-Playing,Namco Bandai Games,0.84,71,59,7.9,216
PS2,2002,Role-Playing,Atari,1.27,75,35,8.5,60
PS2,2002,Role-Playing,Atari,0.68,76,24,8.9,81
PS2,2002,Role-Playing,Atari,0.46,70,23,8.7,19
PC,2012,Action,Activision,0.11,76,12,6.4,389
PS3,2012,Action,Activision,0.74,79,39,6.8,179
X360,2012,Action,Activision,0.79,74,69,7,173
PS3,2009,Action,Activision,1.24,79,53,7.7,308
X360,2009,Action,Activision,1.31,78,83,7.8,356
PS,2000,Racing,Electronic Arts,0.53,51,16,4.6,14
PC,2008,Action,Activision,0.03,70,18,6.3,55
PS3,2008,Action,Activision,1.14,65,42,6.6,47
X360,2008,Action,Activision,1.48,65,69,7.1,71
Wii,2008,Action,Activision,0.65,54,11,7.5,26
PS,2000,Action,Electronic Arts,0.92,61,11,6.7,44
DS,2008,Misc,DSI Games,0.08,38,5,3.2,5
DS,2008,Misc,Nintendo,0.66,70,7,6,12
PC,2009,Adventure,DTP Entertainment,0.01,63,6,5.8,8
PC,2006,Simulation,Deep Silver,0.3,79,30,8.3,38
PS2,2001,Racing,Acclaim Entertainment,0.4,61,11,5.7,18
GC,2002,Racing,Acclaim Entertainment,0.11,52,17,6.8,8
PS2,2005,Racing,Ubisoft,0.15,52,33,6.8,12
XB,2005,Racing,Ubisoft,0.06,51,40,6.9,8
PS2,2002,Sports,Electronic Arts,0.59,73,19,5.6,18
GC,2002,Sports,Electronic Arts,0.05,78,9,7.7,6
XB,2002,Sports,Electronic Arts,0.19,79,17,9,4
Wii,2010,Sports,Electronic Arts,0.42,70,19,6.7,11
PSP,2010,Sports,Electronic Arts,0.46,69,11,7.4,9
PS3,2010,Sports,Electronic Arts,1.23,82,56,7.8,57
X360,2010,Sports,Electronic Arts,0.85,83,61,8.1,58
PS3,2014,Sports,Electronic Arts,0.61,73,33,4.3,87
X360,2014,Sports,Electronic Arts,0.42,74,29,4.4,93
PS2,2006,Adventure,Sony Computer Entertainment,0.3,62,53,8.2,40
PS2,2006,Shooter,Eidos Interactive,0.42,39,23,4.9,46
XB,2006,Shooter,Eidos Interactive,0.17,41,20,7.2,13
PSP,2007,Action,Warner Bros. Interactive Entertainment,0.41,55,31,7.1,14
PS3,2009,Role-Playing,SouthPeak Games,0.57,77,66,8,96
XB,2001,Racing,Gathering of Developers,0.24,59,15,6.2,5
X360,2009,Shooter,THQ,0.21,71,54,6.4,64
PS3,2009,Shooter,THQ,0.19,72,37,7.2,57
XB,2005,Action,Vivendi Games,0.44,50,14,5.9,21
PS2,2005,Action,Vivendi Games,1.77,47,21,6.6,129
XOne,2016,Action,Telltale Games,0.05,35,17,5.2,74
PS4,2016,Action,Telltale Games,0.14,45,16,5.9,140
DS,2007,Puzzle,Funsta,0.13,60,7,8.3,48
3DS,2015,Role-Playing,Sega,0.17,77,26,8.2,38
Wii,2009,Platform,Majesco Entertainment,0.21,80,43,8.7,35
PC,2011,Strategy,Focus Home Interactive,0.03,53,40,4,110
PC,2008,Adventure,Crimson Cow,0.02,75,33,8.5,25
DS,2009,Role-Playing,Nippon Ichi Software,0.11,50,17,6.2,9
X360,2008,Misc,MTV Games,0.23,63,16,4.9,10
PS3,2008,Misc,MTV Games,0.24,60,12,5.3,14
Wii,2009,Sports,Ubisoft,0.12,64,20,6.8,14
DS,2009,Adventure,Capcom,0.7,78,51,8.4,79
PS2,2001,Simulation,Sony Computer Entertainment Europe,3.17,89,22,9.1,95
PS,1997,Simulation,Sony Computer Entertainment,0.89,83,10,8.2,22
PS2,2004,Simulation,Sony Computer Entertainment Europe,1.71,84,57,9.1,81
X360,2007,Simulation,Atari,1.01,80,54,7.9,101
PSP,2006,Simulation,Namco Bandai Games,0.99,75,26,8.3,30
PS2,2006,Simulation,Namco Bandai Games,0.51,75,45,8.4,55
X360,2011,Action,Namco Bandai Games,0.49,78,71,6.2,82
PS3,2011,Action,Namco Bandai Games,0.74,77,28,6.7,82
3DS,2011,Simulation,Namco Bandai Games,0.24,71,37,7.8,26
PSP,2010,Simulation,Namco Bandai Games,0.29,71,30,7.2,12
PC,2010,Strategy,Mamba Games,0.02,70,6,8.3,20
PC,2015,Strategy,Focus Home Interactive,0.01,71,37,7.1,93
Wii,2008,Sports,Atari,1.54,69,6,8.1,14
PS2,2002,Misc,Activision,0.5,75,13,7.7,6
GBA,2001,Strategy,Nintendo,0.7,92,28,9,95
GBA,2003,Strategy,Nintendo,0.65,89,34,9.4,97
DS,2005,Strategy,Nintendo,0.39,90,49,9,163
XB,2005,Action,THQ,0.13,68,50,7.5,68
3DS,2014,Action,Little Orbit,0.08,65,5,5.6,8
X360,2014,Action,Little Orbit,0.06,58,5,7.5,4
PSP,2006,Role-Playing,Idea Factory,0.02,62,20,6.5,11
PS4,2016,Action,PQube,0.03,57,11,7.8,9
XB,2005,Action,THQ,0.01,69,27,3,4
PS2,2005,Action,THQ,0.04,66,19,5.8,9
PS2,2002,Simulation,Sega,0.07,64,18,7,8
PS3,2008,Adventure,Unknown,0.22,63,12,6.2,34
